crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
barl,NA,NA,NA,NA,skip,NA,NA,NA
barl,4,30,5,30,tillage,fldcult,NA,NA
barl,5,1,5,31,plant,barl,NA,NA
barl,5,1,5,31,fertilizer,elem_n,broadcast,85
barl,5,1,5,31,fertilizer,elem_p,broadcast,9
barl,5,23,6,11,fertilizer,elem_n,broadcast,12.4
barl,5,23,6,11,fertilizer,elem_p,broadcast,4
barl,7,15,8,26,harvest_only,barl,grain,520
barl,7,16,8,26,kill_only,barl,NA,NA
oats,NA,NA,NA,NA,skip,NA,NA,NA
oats,4,2,5,28,tillage,harrow,NA,NA
oats,4,4,5,30,fertilizer,elem_n,broadcast,96
oats,4,4,5,30,fertilizer,elem_p,broadcast,14
oats,4,4,5,30,plant,oats,NA,NA
oats,4,5,5,31,tillage,rowcult,NA,NA
oats,4,26,6,21,fertilizer,elem_n,broadcast,38
oats,4,26,6,21,fertilizer,elem_p,broadcast,3
oats,7,20,8,28,harvest_only,oats,grain,650
oats,7,20,8,28,kill_only,oats,NA,NA
wwht,8,20,10,25,plant,wwht,NA,NA
wwht,8,21,10,25,tillage,rowcult,NA,NA
wwht,NA,NA,NA,NA,skip,NA,NA,NA
wwht,4,10,4,30,fertilizer,elem_n,broadcast,79.1
wwht,4,10,4,30,fertilizer,elem_p,broadcast,11
wwht,4,27,6,5,fertilizer,elem_n,broadcast,77.2
wwht,4,27,6,5,fertilizer,elem_p,broadcast,6.8
wwht,6,13,7,1,fertilizer,elem_n,broadcast,34
wwht,6,13,7,1,fertilizer,elem_p,broadcast,2
wwht,7,20,9,10,harvest_only,wwht,grain,650
wwht,7,20,9,10,kill_only,wwht,NA,NA
swht,NA,NA,NA,NA,skip,NA,NA,NA
swht,4,30,5,10,tillage,harrow,NA,NA
swht,5,2,5,15,fertilizer,elem_n,broadcast,100
swht,5,2,5,15,fertilizer,elem_p,broadcast,13.5
swht,5,2,5,15,plant,swht,NA,NA
swht,5,26,6,18,fertilizer,elem_n,broadcast,57
swht,5,26,6,18,fertilizer,elem_p,broadcast,3.1
swht,7,20,9,1,harvest_only,swht,grain,550
swht,7,20,9,1,kill_only,swht,NA,NA
pota,NA,NA,NA,NA,skip,NA,NA,NA
pota,5,1,5,20,tillage,harrow,NA,NA
pota,5,3,5,25,fertilizer,elem_n,broadcast,65
pota,5,3,5,25,fertilizer,elem_p,broadcast,20
pota,5,3,5,25,plant,pota,NA,NA
pota,6,10,6,20,fertilizer,elem_n,broadcast,35
pota,6,10,6,20,fertilizer,elem_p,broadcast,15
pota,9,5,9,30,harvest_only,pota,vegatable,3500
pota,9,5,9,30,kill_only,pota,NA,NA
pota,10,1,10,20,tillage,fallplow,NA,NA
meadow,NA,NA,NA,NA,skip,NA,NA,NA
meadow,4,10,4,30,fertilizer,elem_n,broadcast,10
meadow,4,10,4,30,fertilizer,elem_p,broadcast,5
meadow,6,15,6,25,harvest_only,fesc,hay_cut_low,NA
meadow,7,1,7,15,fertilizer,elem_n,broadcast,40
meadow,8,20,9,1,harvest_only,fesc,hay_cut_low,NA 
