DATE,NH4_RF,NO3_RF,NH4_DRY,NO3_DRY
2010-01-01,0.28456801598017245,1.2714027753994954,0.5070262017593384,5.571832760604858
2011-01-01,0.24736942836142653,1.2371149696399273,0.5606772563056945,6.4617851535644535
2012-01-01,0.27228543346359424,1.4062759842560708,0.4860182470245361,5.5801759033355705
2013-01-01,0.24983172690796873,1.1248083229422843,0.49089554193115237,5.74514826928711
2014-01-01,0.2797652066581688,1.3363679229528387,0.5060466358718873,5.522327287994385
2015-01-01,0.22484088767306742,0.9960649894152219,0.4918929404373169,5.391701022857666
2016-01-01,0.32039916984341255,1.3572974160604037,0.4953947902336121,5.096466473373413
2017-01-01,0.23108524541568093,1.03199414962346,0.4243959505062103,4.927644907012939
2018-01-01,0.28568974968009875,1.2659883329582338,0.5018813193206787,5.091151827621459
2019-01-01,0.1972976248929164,0.8954383121498987,0.45338099316787717,4.541694089630127
2020-01-01,0.20351925147303127,0.9218211912599197,0.47565702885818484,4.6219673285522465
